,firstname,male,female,frequency
0,marie,10145,2390322,0.9957737390266144
1,jean,1869615,6476,0.0034518581454737536
2,pierre,1475841,5047,0.003408090280966555
3,jeanne,1765,1097397,0.9983942312416186
4,françois,1089009,5951,0.005434901731570103
5,joseph,897742,4246,0.004707379699064733
6,anne,1479,816241,0.9981913124296825
7,marguerite,1441,813859,0.9982325524346867
8,catherine,1223,792448,0.9984590592323519
9,louis,750498,2720,0.003611172329923077
10,françoise,1153,600167,0.9980825517195503
11,jacques,585567,2010,0.0034208282488933364
12,antoine,536089,2067,0.0038408937185500113
13,nicolas,408007,1463,0.0035729113243949495
14,louise,681,360914,0.9981166774983061
15,claude,324134,4830,0.014682457654940965
16,charles,276133,972,0.003507695638837264
17,elisabeth,353,224969,0.9984333531568156
18,madeleine,424,217939,0.9980582791040606
19,michel,214487,834,0.0038732868600833176
20,etienne,211297,898,0.004231956455147388
21,guillaume,197634,792,0.003991412415711651
22,claudine,280,163711,0.9982925892274576
23,andré,160970,586,0.0036272252345935776
24,yves,156916,544,0.003454845675092087
25,henri,151366,504,0.0033186277737538685
26,antoinette,326,150155,0.9978336135458962
27,julien,149634,644,0.004285391075207283
28,rené,148231,627,0.004212067876768464
29,rose,372,139480,0.9973400451906301
30,rosalie,259,139343,0.9981447257202619
31,auguste,135314,606,0.004458505002942908
32,georges,125189,446,0.003549966171847017
33,joséphine,268,123596,0.9978363366272687
34,thérèse,252,113825,0.9977909657512032
35,marianne,223,106821,0.9979167445162737
36,barbe,291,106041,0.9972632885678817
37,paul,103157,346,0.0033428982734799956
38,augustin,99532,430,0.004301634621156039
39,jules,97993,420,0.0042677288569599545
40,mathurin,94431,357,0.0037662995315862766
41,suzanne,151,92817,0.9983757852164186
42,alexandre,90238,413,0.004555934297470519
43,julie,183,90323,0.9979780346054405
44,laurent,89819,320,0.003550072665549873
45,victor,87061,314,0.0035937052932761087
46,perrine,117,86401,0.9986476802515084
47,eugène,81779,468,0.005690177149318516
48,victoire,233,81265,0.997141034135807
49,dominique,74438,5470,0.06845372178004705
50,philippe,75164,2151,0.027821250727543167
51,gabriel,75918,501,0.006555961213834256
52,julienne,143,74611,0.998087058886481
53,léonard,72695,290,0.003973419195725149
54,magdeleine,174,71522,0.9975730863646507
55,sophie,136,69126,0.998036441338685
56,henriette,133,67894,0.9980448939391712
57,martin,66574,288,0.004307379378421226
58,augustine,203,66590,0.9969607593610109
59,emile,65749,444,0.006707657909446618
60,geneviève,105,64747,0.9983809288842287
61,bernard,62509,206,0.003284700629833373
62,renée,141,62461,0.9977476757931056
63,simon,61503,209,0.0033866995073891628
64,eugénie,172,61504,0.9972112328944809
65,vincent,59500,187,0.0031330105383081744
66,mathieu,58765,238,0.004033693202040574
67,alexis,55838,770,0.01360231769361221
68,sébastien,53936,186,0.0034366800931229444
69,angélique,154,52204,0.9970587111807173
70,maria,248,52008,0.9952541334966319
71,pierrette,88,51026,0.9982783581797551
72,maurice,50037,321,0.00637435958536876
73,léon,49203,173,0.0035037265068049253
74,agathe,101,48495,0.9979216396411227
75,virginie,80,48268,0.9983453296930587
76,denis,47962,172,0.003573357709727012
77,reine,82,47551,0.9982785043982113
78,francois,46763,221,0.004703728928997106
79,thomas,46238,169,0.003641691986122783
80,caroline,64,45064,0.9985818117355079
81,gabrielle,104,42367,0.997551270278543
82,gilbert,42026,118,0.002799924069855733
83,benoit,41936,165,0.003919146813614879
84,christine,74,40201,0.9981626319056487
85,henry,39743,156,0.003909872427880398
86,hélène,84,39306,0.9978674790555979
87,alphonse,39177,183,0.004649390243902439
88,cécile,108,39111,0.9972462326933375
89,pauline,107,38942,0.9972598530051986
90,anonyme,26957,11817,0.3047660803631299
91,alfred,38124,161,0.004205302337730182
92,christophe,38101,164,0.004285900953874298
93,albert,36650,144,0.003913681578518236
94,charlotte,70,36390,0.9980800877674163
95,victorine,80,35835,0.9977725184463316
96,marthe,95,35815,0.9973544973544973
97,philibert,35682,148,0.004130616801562936
98,claire,65,34793,0.9981352917551207
99,mathurine,61,34763,0.9982483344819665
100,lucie,63,34639,0.9981845426776554
101,félix,33282,237,0.007070616665174975
102,barthélémy,32646,147,0.004482663983167139
103,adolphe,31438,132,0.004181184668989547
104,adélaide,66,31377,0.9979009636485068
105,edouard,31274,97,0.00309202766886615
106,adèle,60,30712,0.9980501754842064
107,marc,29861,130,0.004334633723450368
108,ernest,29848,130,0.004336513443191674
109,mélanie,72,29506,0.9975657583338968
110,silvain,29305,107,0.00363797089623283
111,justine,74,27991,0.9973632638517727
112,gustave,27627,101,0.0036425274091171377
113,alain,27508,83,0.0030082273205030625
114,isidore,26059,240,0.009125822274611202
115,alexandrine,61,25888,0.9976492350379591
116,léonarde,63,25554,0.997540695631807
117,benoite,79,25421,0.9969019607843137
118,hubert,25326,96,0.003776256785461411
119,yvonne,54,25245,0.9978655282817502
120,germain,25084,99,0.003931223444387086
121,ferdinand,24948,120,0.004786979415988511
122,élisabeth,50,24945,0.997999599919984
123,constant,24813,83,0.0033338688946015424
124,célestine,54,24782,0.9978257368336286
125,hervé,24730,73,0.0029431923557634155
126,étienne,24581,116,0.0046969267522371135
127,frédéric,24287,120,0.004916622280493301
128,désiré,23987,213,0.008801652892561983
129,francoise,94,23947,0.9960900128946383
